id,cost,talktime,validity,comments
6291,8,,30 days,On-net (Local/STD) calls @15 paisa/min + Off-net (Local/STD) calls @35 paisa/min
6292,19,,90 days,On-net (Local/STD)calls @15 paisa/min + Off-net (Local/STD) calls @35 paisa/min
6293,30,,1 day,72 mins Local/STD calls to Any-Net
6294,44,,25 days,Local call any-net calls @1.4p/2 sec
6295,47,,21 days,Local onnet calls @ 20ps/min
6296,61,,8 days,5600 Sec Local or STD to any network
6297,65,,27 days,Local onnet calls at 15p/min
6298,69,,30 days,Local call-any net at 1p per 2 sec
6299,122,,75 days,Local any net 1.4P per 2Sec
6300,135,,28 days,275 min free to any network (Local/STD)
6301,159,,28 days,20300 Seconds Local/STD Voice Calls Anynet
6302,164,,5 days,Unlimited Local plus STD onnet calls
6303,177,,30 days,Free voice calls 200 minutes Any net (in Home LSA and roaming ) -- 100 SMS any net (in Home LSA and Roaming) free
6304,181,,30 days,23800 Sec Local/STD Voice Calls to Any N/w
6305,344,,24 days,UNLIMITED Local Onnet free
6306,359,,60 days,Free 52000 Secs to Any Network Local and STD Calls
6307,449,,84 days,1400 min. Local/STD any net
6308,574,,27 days,Unlimited Local On-net call and 500 Min free Local/STD calls Anynet
6309,894,,81 days,Unlimited Local OnNet calls
6310,1494,,81 days,Unlimited Local Onnet call and 1500 Min free Local or STD calls Any net 
