id,cost,talktime,validity,short description,long description
3222,8,,28 days,Recharge of Rs. 8 by Airtel,STD mobile calls @25p/m. Daily 1st 120s @2p/s
3223,41,,28 days,Recharge of Rs. 41 by Airtel,STD mobile calls @25p/m
