cost,monthly-cost,talktime,monthly-talktime,validity,details,comments
30,nil,22.42,nil,nil,Cost: Rs30 | Validity: Unlimited | Talktime: Rs22.42,Talktime of Rs. 22.42 for Rs. 30 recharge by Vodafone
50,nil,39.37,nil,nil,Cost: Rs50 | Validity: Unlimited | Talktime: Rs39.37,Talktime of Rs. 39.37 for Rs. 50 recharge by Vodafone
100,nil,81.75,nil,nil,Cost: Rs100 | Validity: Unlimited | Talktime: Rs81.75,Talktime of Rs. 81.75 for Rs. 100 recharge by Vodafone
150,nil,124.12,nil,nil,Cost: Rs150 | Validity: Unlimited | Talktime: Rs124.12,Talktime of Rs. 124.12 for Rs. 150 recharge by Vodafone
200,nil,169.49,nil,nil,Cost: Rs200 | Validity: Unlimited | Talktime: Rs169.49,Talktime of Rs. 169.49 for Rs. 200 recharge by Vodafone
250,nil,238,nil,nil,Cost: Rs250 | Validity: Unlimited | Talktime: Rs238,Talktime of Rs. 238 for Rs. 250 recharge by Vodafone
125,nil,125,nil,nil,Cost: Rs125 | Validity: Unlimited | Talktime: Rs125,Talktime of Rs. 125 for Rs. 125 recharge by Vodafone
300,nil,300,nil,nil,Cost: Rs300 | Validity: Unlimited | Talktime: Rs300,Talktime of Rs. 300 for Rs. 300 recharge by Vodafone
400,nil,400,nil,nil,Cost: Rs400 | Validity: Unlimited | Talktime: Rs400,Talktime of Rs. 400 for Rs. 400 recharge by Vodafone
500,nil,500,nil,nil,Cost: Rs500 | Validity: Unlimited | Talktime: Rs500,Talktime of Rs. 500 for Rs. 500 recharge by Vodafone
750,nil,750,nil,nil,Cost: Rs750 | Validity: Unlimited | Talktime: Rs750,Talktime of Rs. 750 for Rs. 750 recharge by Vodafone
1000,nil,1000,nil,nil,Cost: Rs1000 | Validity: Unlimited | Talktime: Rs1000,Talktime of Rs. 1000 for Rs. 1000 recharge by Vodafone
