id,cost,talktime,validity,comments
7007,26,,26 hours,U/L voice (local/STD) (Onnet/offnet) in Home LSA -- 1 onnet local SMS
7008,34,,1 day,72 MINUTES LOCAL and STD CALLS ONNET -- 
7009,42,,21 days,For Per Minute plan:(a)10paisa/min for On-net voice calls (Local/STD)(b)30paisa/min for Off-netvoicecalls(Local/STD) -- For Per Second plan:(a)1paisa/3sec for On-net voice calls (Local/STD) (b)2paisa/3 sec for Off-net Voice calls (Local/STD)STV benefit is avilable in home LSA only 
7010,44,,25 days,Local any Network calls 1.4ps per 2sec
7011,47,,21 days,Local Onnet calls 20ps per min
7012,65,,27 days,Local Onnet @ 15ps/min -- 
7013,69,,30 days,Local call to anynet at 1paisa per 2 Sec
7014,88,,48 days,For Per Minute plan:(a)10paisa/min for On-net voice calls (Local/STD)(b)30paisa/min for Off-netvoicecalls(Local/STD) -- For Per Second plan:(a)1paisa/3sec for On-net voice calls (Local/STD) (b)2paisa/3 sec for Off-net Voice calls (Local/STD)STV benefit is avilable in home LSA only
7015,101,,7 days,All Voice Calls FREE (Local/STD On-Net/Off-Net) in Home LSA.
7016,122,,75 days,Local any Network calls 1.4ps per 2sec
7017,135,,28 days,275 min local or STD calls to any network
7018,143,,30 days,U/L On net (local/STD) voice calls + U/L Off-net  (local/STD) voice calls (in Home LSA Only) -- The Free off-net (Local/STD) voice calls is limited to 20min/day -- This STV is applicable only for Plan_144 customers
7019,149,,26 days,19800 Seconds Voice Calls (Local/STD) Free to any network in Home LSA Only.
7020,152,,30 days,Local and STD Onnet calls 10ps per min and Offnet calls 30ps per min -- 
7021,159,,28 days,Free 20300 Sec Loc or STD calls to any network
7022,164,,5 days,Unlimited Local plus STD Onnet calls -- 
7023,181,,30 days,23800 Sec Local/STD Voice Calls to Any N/w
7024,201,,28 days,Free 26800 Secs  to Any Network Local and STD Calls
7025,291,,90 days,Local Onnet mobile calls 10ps per min and other local calls 49 ps per min
7026,344,,24 days,Unlimited Local Onnet -- 
7027,359,,60 days,Free 52000 Secs to Any Network Local and STD Calls
7028,449,,84 days,1400 min Loc or STD to any network
7029,574,,27 days,Unlimited Local Onnet and 500 Min free Local/STD calls Anynet -- 
7030,699,,30 days,"Local Onnet calls Unlimited free, Local Offnet calls 1500 min free"
7031,701,,28 days,Unlimited Local or STD Onnet calls -- 
7032,894,,81 days,Unlimited Local Onnet -- 
