id,cost,talktime,validity,comments
6149,11,,1 day,OG(Local and STD) while in roaming at 70paisa per min
6150,79,,28 days,OG(Local and STD) while in roaming at 70paisa per min
6151,92,,30 days,120 Min anynet voice calls and 40 anynet SMS while in Roaming
