id,cost,talktime,validity,comments
1971,6,,4 days,1p/s Local + STD Mobile calls
1972,9,,4 days,All Local Mobile Calls @ 30p/min
1973,15,,27 days,Local and STD Mobile calls @ 1p/s
1974,46,,27 days,Local Mobile Calls @ 30p/m
1975,51,,27 days,Local A2A Calls @ 10p/m
1976,65,,27 days,All Local+STD Mobile Calls @ 25p/min
1977,74,,27 days,Local A2A Calls @ 10p/m and Local Other mobile calls @30p/m
1978,76,,54 days,Local Mobile Calls @ 30p/m
1979,91,,54 days,Local A2A Calls @ 10p/m
1980,94,,81 days,Local Mobile Calls @ 30p/m
1981,121,,81 days,Local A2A Mobile Calls @ 10p/m
1982,134,,54 days,Local A2A Calls @ 10p/m and Local Other mobile calls @30p/m
1983,184,,81 days,Local A2A Calls @ 10p/m and Local Other mobile calls @30p/m
1984,199,,4 days,Unlimited Local + STD all calls (T&C apply)
1985,249,,3 days,Free All Calls -- T&C Apply.
1986,299,,4 days,Free All Calls -- T&C Apply
1987,545,,84 days,Unlimited Local+STD Airtel calls (T&C apply)
