id,cost,talktime,validity,short description,long description
4518,6,,4 days,Recharge of Rs. 6 by Airtel,STD Mobile calls @30p/min
4519,21,,28 days,Recharge of Rs. 21 by Airtel,STD Mobile Calls @30p/min
4520,32,,42 days,Recharge of Rs. 32 by Airtel,STD Mobile Calls @30p/min
4521,47,,28 days,Recharge of Rs. 47 by Airtel,STD Mobile Calls @25p/min
