id,cost,talktime,validity,short description,long description
4101,5,,30 days,Recharge of Rs. 5 by Airtel,Local Airtel to Airtel 10p/m (First min of mobile call @75p everyday) -- Applicable only for new subscribers as FRC/SRC
4102,11,,84 days,Recharge of Rs. 11 by Airtel,Local Airtel to Airtel 10p/m (First min of mobile call @75p everyday) -- Applicable only for new subscribers as FRC/SRC
4103,52,37,90 days,Recharge of Rs. 52 by Airtel,50 MB 3G/4G internet (30 days) -- All mobile calls 1.5p/s & Fixedline calls @ 2.5p/s  -- Applicable only for new subscribers as FRC/SRC
4104,54,19,90 days,Recharge of Rs. 54 by Airtel,50 MB 3G/4G internet (30 days) -- All mobile calls 1.5p/s & Fixedline calls @ 2.5p/s -- Applicable only for new subscribers as FRC/SRC
4105,58,,35 Days,Recharge of Rs. 58 by Airtel,All Unlimited Local + STD calls in National Roaming (35 Days). For 4G H/s and 4G SIM (84 days) -- Applicable only on FRC 445(T&C apply) -- Applicable only for new subscribers as FRC/SRC
4106,81,46,90 days,Recharge of Rs. 81 by Airtel,Rs.46 Main account Talktime and 50MB 3G/4G internet for 30 days credited and All mobile calls 1.5p/s & Fixedline calls @ 2.5p/s for 90 days -- Applicable only for new subscribers as FRC/SRC
4107,98,80,90 days,Recharge of Rs. 98 by Airtel,50 MB 3G/4G internet (30 days) -- All mobile calls @1.5 p/s and fixed line calls @2.5 p/s -- Applicable only for new subscribers as FRC/SRC
4108,99,64,90 days,Recharge of Rs. 99 by Airtel,50 MB 3G/4G internet (30 days) -- All mobile calls 1.5p/s & Fixedline calls @ 2.5p/s -- Applicable only for new subscribers as FRC/SRC
4109,123,52,90 days,Recharge of Rs. 123 by Airtel,300 MB 3G/4G internet (30 days) credited -- All mobile calls @1.5p/s & Fixedline calls @ 2.5p/s -- Applicable only for new subscribers as FRC/SRC
4110,145,,28 days,Recharge of Rs. 145 by Airtel,Unlimited Local & STD Airtel calls -- 2 GB data on 4G Handset with 4G SIM and 1 GB for others -- T&C apply -- Applicable only for new subscribers as FRC/SRC
4111,195,,90 days,Recharge of Rs. 195 by Airtel,Unlimited (Local + STD) Airtel to Airtel Calls + 150 Min (local +STD) Airtel to other calls + 1GB internet on 2G/3G Handset & 2GB internet on 4G Handset (Validity 28 days)+all mobile call@1.5p/s for 90 days -- Applicable only for new subscribers as FRC/SRC
4112,293,,84 days,Recharge of Rs. 293 by Airtel,"4G handset with 4G SIM: Unlimited Local+STD Airtel mobile, 1 GB/day Data (84 days)Other handset: Unlimited Local + STD -- 2 GB Data (35 days) Datacard: 1 GB/day Data (180 days) -- T&C apply -- Applicable only for new subscribers as FRC/SRC"
4113,345,,28 days,Recharge of Rs. 345 by Airtel,Unlimited all Local + STD calls -- 1 GB/day 3G/4G data -- T&C apply. -- Applicable only for new subscribers as FRC/SRC
4114,445,,84 days,Recharge of Rs. 445 by Airtel,"4G handset with 4G SIM: Unlimited Local+STD Airtel mobile, 1 GB/day Data (84 days)Other handset: Unlimited Local + STD -- 2 GB Data (35 days) Datacard: 1 GB/day Data (180 days) -- T&C apply -- Applicable only for new subscribers as FRC/SRC"
4115,1494,,90 days,Recharge of Rs. 1494 by Airtel,"15 GB 3G Data -- For 4G handsets only, unlimited internet for 90 days on My Airtel App .64KBPS speed post 30 GB -- Data share & Cash back does not app -- Applicable only for new subscribers as FRC/SRC"
