id,cost,talktime,validity,comments
18008,24,24,3 days,1 night local V2V min valid for 3day
18010,222,222,N.A,Talk Time of 222 and 5 night local V2V min valid for 1day
18019,55,50,N.A,1 night local V2V min valid for 1day
18024,105,25,28 days,"250 MB data -- Special features included: call 1 local Vodafone buddy @10p/min, option of 60MB data loan -- T&C Apply"
18025,181,30,28 days,500 MB data -- Special features included: call 1 local Vodafone buddy @10p/min -- option of 60 MB data loan -- T&C Apply
18026,298,50,28 days,"1536 MB data -- Special features included: call 1 local Vodafone buddy @10p/min, option of 60MB data loan -- T&C Apply"
