id,cost,talktime,validity,short description,long description
1905,8,,1 day,Recharge of Rs. 8 by Airtel,45 MB 4G/3G/2G Data
1906,17,,2 days,Recharge of Rs. 17 by Airtel,95 MB 4G/3G/2G Data
1908,28,,3 days,Recharge of Rs. 28 by Airtel,160 MB 4G/3G/2G Data
1909,29,,30 days,Recharge of Rs. 29 by Airtel,115 MB 4G/3G/2G Data
1911,45,,4 days,Recharge of Rs. 45 by Airtel,250 MB 4G/3G/2G Data
1912,53,,7 days,Recharge of Rs. 53 by Airtel,160 MB 4G/3G/2G
1913,63,,Unlimited,Recharge of Rs. 63 by Airtel,"100MB (2G/3G/4G), Base Tariff-Local/STD mobile calls at 2p/s and landline at 2.5p/sec -- This recharge cannot be used to carry forward existing 3G Balance"
1914,68,,7 days,Recharge of Rs. 68 by Airtel,390 MB 4G/3G/2G Data
1915,95,,5 days,Recharge of Rs. 95 by Airtel,1 GB 2G/3G/4G Data  (This recharge cannot be used to carry forward existing 3G balance)
1917,101,,10 days,Recharge of Rs. 101 by Airtel,560 MB 4G/3G/2G Data
1918,147,,27 days,Recharge of Rs. 147 by Airtel,580MB 4G/3G/2G (This recharge cannot be used to carry forward existing Data balance)*
1919,149,,21 days,Recharge of Rs. 149 by Airtel,850MB 4G/3G/2G
1920,164,,14 days,Recharge of Rs. 164 by Airtel,900 MB 4G/3G/2G Data
1921,168,,27 days,Recharge of Rs. 168 by Airtel,650 MB (4G/3G/2G) Data  + Extra 355MB Only for 4G H/S + 4G SIM Customers
1922,178,,27 days,Recharge of Rs. 178 by Airtel,1GB 4G/3G/2G
1923,193,,27 days,Recharge of Rs. 193 by Airtel,1.05GB 4G/3G/2G
1924,197,,27 days,Recharge of Rs. 197 by Airtel,1.10GB 4G/3G/2G
1925,205,,27 days,Recharge of Rs. 205 by Airtel,1.15 GB 4G/3G/2G Data
1926,225,,27 days,Recharge of Rs. 225 by Airtel,1.25 GB 4G/3G/2G Data
1927,227,,27 days,Recharge of Rs. 227 by Airtel,1.30 GB 4G/3G/2G Data
1928,243,,27 days,Recharge of Rs. 243 by Airtel,"1.40 GB 4G/3G/2G Data, 1.40B Happy Hours night data (3AM to 5AM)"
1929,255,,25 days,Recharge of Rs. 255 by Airtel,1.50GB 4G/3G/2G
1930,265,,27 days,Recharge of Rs. 265 by Airtel,1.50 GB (4G/3G/2G) Data  + Extra 2.50GB Only for 4G H/S + 4G SIM Customers
1931,298,,27 days,Recharge of Rs. 298 by Airtel,1.70 GB 4G/3G/2G Data
1932,359,,27 days,Recharge of Rs. 359 by Airtel,2.50 GB 4G/3G/2G Data
1934,459,,27 days,Recharge of Rs. 459 by Airtel,3.50 GB 4G/3G/2G Data
1935,498,,27 days,Recharge of Rs. 498 by Airtel,4.00 GB (4G/3G/2G) Data  + Extra 6.01GB Only for 4G H/S + 4G SIM Customers
1937,601,,27 days,Recharge of Rs. 601 by Airtel,5 GB 4G/3G/2G Data. 5GB Happy Hours Night data(3AM to 5AM)
1939,651,,27 days,Recharge of Rs. 651 by Airtel,6 GB 4G/3G/2G Data
1940,751,,27 days,Recharge of Rs. 751 by Airtel,7 GB 4G/3G/2G Data
1941,855,,27 days,Recharge of Rs. 855 by Airtel,8 GB 4G/3G/2G Data
1943,992,,365 days,Recharge of Rs. 992 by Airtel,10 GB 4G/3G/2G Data
1944,996,,27 days,Recharge of Rs. 996 by Airtel,10.00GB (4G/3G/2G) Data  + Extra 12.00GB Only for 4G H/S + 4G SIM Customers
1945,1155,,27 days,Recharge of Rs. 1155 by Airtel,11 GB 4G/3G/2G Data
1947,1355,,27 days,Recharge of Rs. 1355 by Airtel,13 GB 4G/3G/2G Data
1948,1555,,27 days,Recharge of Rs. 1555 by Airtel,15 GB 4G/3G/2G Data
1953,695,,84 days,Recharge of Rs. 695 by Airtel,Unlimited Local+STD Airtel calls (T&C apply) -- 500 MB 4G/3G/2G Data
1954,795,,84 days,Recharge of Rs. 795 by Airtel,Unlimited Local+STD Airtel calls (T&C apply) -- 1 GB 4G/3G/2G Data
1961,295,,27 days,Recharge of Rs. 295 by Airtel,1 GB 3G day & night + 1 GB night ( 12AM - 6AM)
1968,1495,,90 days,Recharge of Rs. 1495 by Airtel,15 GB data for 3G handset for 90 days & extra 15GB ( total 30GB 3g/4g ) on 4g handsets for 90 days -- 
