id,cost,talktime,validity,comments
9054,51,40,90 days,"Local Calls 25p/ min & STD Calls 30p/Min -- Applicable Districts: Chitrakoot, Kaushambi, Mau, Shravasti, Kushinagar, Maharajganj, Hamirpur, Jalaun, Kannauj, Kanpur Dehat, Lalitpur, Mahoba, Banda, Fatehpur, Kanpur Nagar, Unnao, Lucknow, Rae Bareli, Bahraich, Hardoi, Farrukhabad, Kheri, Shahjahanpur, Chandauli, Varanasi, Sant Ravidas Nagar. -- Applicable only for new subscribers as FRC/SRC"
9055,52,40,90 days,"Local Onnet Calls 10p/ min & Local Offnet Calls 30p/Min -- Applicable Districts: Chitrakoot, Kaushambi, Mau, Shravasti, Kushinagar, Maharajganj, Hamirpur, Jalaun, Kannauj, Kanpur Dehat, Lalitpur, Mahoba, Banda, Fatehpur, Kanpur Nagar, Unnao, Lucknow, Rae Bareli, Bahraich, Hardoi, Farrukhabad, Kheri, Shahjahanpur, Chandauli, Varanasi, Sant Ravidas Nagar. -- Applicable only for new subscribers as FRC/SRC"
9056,53,40,90 days," Local STD Calls 25p/ min -- Chitrakoot, Kaushambi, Mau, Shravasti, Kushinagar, Maharajganj, Hamirpur, Jalaun, Kannauj, Kanpur Dehat, Lalitpur, Mahoba, Banda, Fatehpur, Kanpur Nagar, Unnao, Lucknow, Rae Bareli, Bahraich, Hardoi, Farrukhabad, Kheri, Shahjahanpur, Chandauli, Varanasi, Sant Ravidas Nagar. -- Applicable only for new subscribers as FRC/SRC"
9057,61,40,90 days,"Talktime (Rs.): 40 (Rs 20 Valid for 30 Days) -- Local/STD Mobile calls @ Local STD Calls 20p/min -- Applicable Districts: Chitrakoot, Kaushambi, Mau, Shravasti, Kushinagar, Maharajganj, Hamirpur, Jalaun, Kannauj, Kanpur Dehat, Lalitpur, Mahoba, Banda, Fatehpur, Kanpur Nagar, Unnao, Lucknow, Rae Bareli, Bahraich, Hardoi, Farrukhabad, Kheri, Shahjahanpur, Chandauli, Varanasi, Sant Ravidas Nagar. -- Applicable only for new subscribers as FRC/SRC"
