id,cost,talktime,validity,comments
9023,8,,28 days,"Local On-Net mobile calls @ 10p/min (on minute pulse) -- Applicable Districts: Chitrakoot, Kaushambi, Mau, Shravasti, Kushinagar, Maharajganj, Hamirpur, Jalaun, Kannauj, Kanpur Dehat, Lalitpur, Mahoba, Banda, Fatehpur, Kanpur Nagar, Unnao, Lucknow, Rae Bareli, Bahraich, Hardoi, Farrukhabad, Kheri, Shahjahanpur, Chandauli, Varanasi, Sant Ravidas Nagar."
9024,11,,28 days,Local On-Net & Off-Net mobile calls @ 30p/min  PPM
9025,13,,3 days,Unlimited Local + STD onnet mobile calls
9026,18,,28 days,"Local On-Net & Off-Net mobile calls @ 30p/min  PPS -- Applicable Districts: Chitrakoot, Kaushambi, Mau, Shravasti, Kushinagar, Maharajganj, Hamirpur, Jalaun, Kannauj, Kanpur Dehat, Lalitpur, Mahoba, Banda, Fatehpur, Kanpur Nagar, Unnao, Lucknow, Rae Bareli, Bahraich, Hardoi, Farrukhabad, Kheri, Shahjahanpur, Chandauli, Varanasi, Sant Ravidas Nagar."
9027,19,,28 days,"Local On-Net mobile calls @ 10p/min Local Off-Net mobile calls @30p/min PPM  -- Applicable Districts: Chitrakoot, Kaushambi, Mau, Shravasti, Kushinagar, Maharajganj, Hamirpur, Jalaun, Kannauj, Kanpur Dehat, Lalitpur, Mahoba, Banda, Fatehpur, Kanpur Nagar, Unnao, Lucknow, Rae Bareli, Bahraich, Hardoi, Farrukhabad, Kheri, Shahjahanpur, Chandauli, Varanasi, Sant Ravidas Nagar."
9028,22,,90 days,"Local Mobile calls 35p/Min  -- Applicable Districts: Chitrakoot, Kaushambi, Mau, Shravasti, Kushinagar, Maharajganj, Hamirpur, Jalaun, Kannauj, Kanpur Dehat, Lalitpur, Mahoba, Banda, Fatehpur, Kanpur Nagar, Unnao, Lucknow, Rae Bareli, Bahraich, Hardoi, Farrukhabad, Kheri, Shahjahanpur, Chandauli, Varanasi, Sant Ravidas Nagar."
9029,24,,28 days,"Local On-Net mobile calls @ 10p/min Local Off-Net mobile calls @30p/min PPS  -- Applicable Districts: Chitrakoot, Kaushambi, Mau, Shravasti, Kushinagar, Maharajganj, Hamirpur, Jalaun, Kannauj, Kanpur Dehat, Lalitpur, Mahoba, Banda, Fatehpur, Kanpur Nagar, Unnao, Lucknow, Rae Bareli, Bahraich, Hardoi, Farrukhabad, Kheri, Shahjahanpur, Chandauli, Varanasi, Sant Ravidas Nagar."
9030,29,,28 days,Local/ STD Mobile calls @ 25p/ min
9031,31,,7 days,Unlimited Local + STD onnet mobile calls
9032,34,,28 days,"Local calls 25p/Min & STD Calls 30p/min PPM -- Applicable Districts: Chitrakoot, Kaushambi, Mau, Shravasti, Kushinagar, Maharajganj, Hamirpur, Jalaun, Kannauj, Kanpur Dehat, Lalitpur, Mahoba, Banda, Fatehpur, Kanpur Nagar, Unnao, Lucknow, Rae Bareli, Bahraich, Hardoi, Farrukhabad, Kheri, Shahjahanpur, Chandauli, Varanasi, Sant Ravidas Nagar."
