id,cost,talktime,validity,short description,long description
1008,15,,28 days,Recharge of Rs. 15 by Aircel,STD Mobile Calls @ 30p/ Min
1009,22,,28 days,Recharge of Rs. 22 by Aircel,STD Calls @ 25p/min for first 100 mins then 50p/min
1010,28,,90 days,Recharge of Rs. 28 by Aircel,STD Mobile Calls @ 30p/min 
1011,29,,56 days,Recharge of Rs. 29 by Aircel,All STD calls @ 25p/min
