id,cost,talktime,validity,short description,long description
9834,2200,1861.41,N.A,Recharge of Rs. 2200 by Idea,Talktime of Rs. 1861.41 for Rs. 2200 recharge by Idea
9835,2300,1946.15,N.A,Recharge of Rs. 2300 by Idea,Talktime of Rs. 1946.15 for Rs. 2300 recharge by Idea
9836,2400,2030.9,N.A,Recharge of Rs. 2400 by Idea,Talktime of Rs. 2030.9 for Rs. 2400 recharge by Idea
9837,2500,2115.64,N.A,Recharge of Rs. 2500 by Idea,Talktime of Rs. 2115.64 for Rs. 2500 recharge by Idea
9838,2600,2200.39,N.A,Recharge of Rs. 2600 by Idea,Talktime of Rs. 2200.39 for Rs. 2600 recharge by Idea
9839,2700,2285.14,N.A,Recharge of Rs. 2700 by Idea,Talktime of Rs. 2285.14 for Rs. 2700 recharge by Idea
9840,2800,2369.88,N.A,Recharge of Rs. 2800 by Idea,Talktime of Rs. 2369.88 for Rs. 2800 recharge by Idea
9841,2900,2454.63,N.A,Recharge of Rs. 2900 by Idea,Talktime of Rs. 2454.63 for Rs. 2900 recharge by Idea
9842,3000,2539.37,N.A,Recharge of Rs. 3000 by Idea,Talktime of Rs. 2539.37 for Rs. 3000 recharge by Idea
9843,3500,2963.1,N.A,Recharge of Rs. 3500 by Idea,Talktime of Rs. 2963.1 for Rs. 3500 recharge by Idea
9844,4000,3386.83,N.A,Recharge of Rs. 4000 by Idea,Talktime of Rs. 3386.83 for Rs. 4000 recharge by Idea
9845,4500,3810.56,N.A,Recharge of Rs. 4500 by Idea,Talktime of Rs. 3810.56 for Rs. 4500 recharge by Idea
9846,5000,4234.29,N.A,Recharge of Rs. 5000 by Idea,Talktime of Rs. 4234.29 for Rs. 5000 recharge by Idea
9847,5500,4658.02,N.A,Recharge of Rs. 5500 by Idea,Talktime of Rs. 4658.02 for Rs. 5500 recharge by Idea
9848,6000,5081.75,N.A,Recharge of Rs. 6000 by Idea,Talktime of Rs. 5081.75 for Rs. 6000 recharge by Idea
9849,6500,5505.47,N.A,Recharge of Rs. 6500 by Idea,Talktime of Rs. 5505.47 for Rs. 6500 recharge by Idea
9850,7000,5929.2,N.A,Recharge of Rs. 7000 by Idea,Talktime of Rs. 5929.2 for Rs. 7000 recharge by Idea
9851,7500,6352.93,N.A,Recharge of Rs. 7500 by Idea,Talktime of Rs. 6352.93 for Rs. 7500 recharge by Idea
9852,8000,6776.66,N.A,Recharge of Rs. 8000 by Idea,Talktime of Rs. 6776.66 for Rs. 8000 recharge by Idea
9853,8500,7200.39,N.A,Recharge of Rs. 8500 by Idea,Talktime of Rs. 7200.39 for Rs. 8500 recharge by Idea
9854,9000,7624.12,N.A,Recharge of Rs. 9000 by Idea,Talktime of Rs. 7624.12 for Rs. 9000 recharge by Idea
9855,9500,8047.85,N.A,Recharge of Rs. 9500 by Idea,Talktime of Rs. 8047.85 for Rs. 9500 recharge by Idea
9856,10000,8471.58,N.A,Recharge of Rs. 10000 by Idea,Talktime of Rs. 8471.58 for Rs. 10000 recharge by Idea
9907,299,,28 days,Recharge of Rs. 299 by Idea,"Magic Recharge - Upto 10 GB 3G/4G Data, Minimum 1.5 GB Data -- Overage: 4p/10kb"
