id,cost,talktime,validity,short description,long description
9954,6,,1 day,Recharge of Rs. 6 by Idea,STD Mobile calls @ 25P/Min
9955,13,,3 days,Recharge of Rs. 13 by Idea,STD Mobile calls @ 25P/Min -- 
9956,33,,60 days,Recharge of Rs. 33 by Idea,STD Mobile calls @35p/min -- 
9957,35,,28 days,Recharge of Rs. 35 by Idea,STD Mobile calls @ 25P/Min -- 
