id,cost,talktime,validity,short description,long description
9866,5,,1 hour,Recharge of Rs. 5 by Idea,Unlimited Internet -- Overage: 4p/10kb -- 
9867,19,,3 days,Recharge of Rs. 19 by Idea,110 MB Data -- Overage: 4p/10Kb -- 
9868,36,,30 days,Recharge of Rs. 36 by Idea,120 MB Data -- Overage: 4p/10Kb -- 
9869,59,,8 days,Recharge of Rs. 59 by Idea,325 MB Data -- Overage: 4p/10kb -- 
9870,77,,28 days,Recharge of Rs. 77 by Idea,250 MB Data -- Overage: 4p/10Kb  -- 
9871,104,,15 days,Recharge of Rs. 104 by Idea,600 MB Data -- Overage: 4p/10KB -- 
9872,126,,18 days,Recharge of Rs. 126 by Idea,725 MB -- Overage: 4p/10Kb  -- 
9873,199,,28 days,Recharge of Rs. 199 by Idea,Unlimited 2 GB Data -- FUP limit: Speed Post 2 GB @20Kbps
9874,229,,28 days,Recharge of Rs. 229 by Idea,"2 GB 2G Data, Upto 10 GB data subject to time of recharge by subscriber -- Overage: 4p/10Kb"
9875,249,,28 days,Recharge of Rs. 249 by Idea,Unlimited 2.5GB Data -- FUP limit: Speed Post 2.5GB @20Kbps
9878,398,,28 days,Recharge of Rs. 398 by Idea,Unlimited 4 GB Data -- FUP limit: Speed Post 4 GB @20kbps
