cost,monthly-cost,talktime,monthly-talktime,validity,details,comments
10,nil,7.47,nil,nil,Cost: Rs10 | Validity: Unlimited | Talktime: Rs7.47,Talktime of Rs. 7.47 for Rs. 10 recharge by BSNL
30,nil,22.42,nil,nil,Cost: Rs30 | Validity: Unlimited | Talktime: Rs22.42,Talktime of Rs. 22.42 for Rs. 30 recharge by BSNL
50,nil,39.37,nil,nil,Cost: Rs50 | Validity: Unlimited | Talktime: Rs39.37,Talktime of Rs. 39.37 for Rs. 50 recharge by BSNL
100,nil,81.75,nil,nil,Cost: Rs100 | Validity: Unlimited | Talktime: Rs81.75,Talktime of Rs. 81.75 for Rs. 100 recharge by BSNL
110,nil,90.22,nil,nil,Cost: Rs110 | Validity: Unlimited | Talktime: Rs90.22,Talktime of Rs. 90.22 for Rs. 110 recharge by BSNL
150,nil,124.12,nil,nil,Cost: Rs150 | Validity: Unlimited | Talktime: Rs124.12,Talktime of Rs. 124.12 for Rs. 150 recharge by BSNL
200,nil,166.49,nil,nil,Cost: Rs200 | Validity: Unlimited | Talktime: Rs166.49,Talktime of Rs. 166.49 for Rs. 200 recharge by BSNL
210,nil,174.97,nil,nil,Cost: Rs210 | Validity: Unlimited | Talktime: Rs174.97,Talktime of Rs. 174.97 for Rs. 210 recharge by BSNL
250,nil,208.86,nil,nil,Cost: Rs250 | Validity: Unlimited | Talktime: Rs208.86,Talktime of Rs. 208.86 for Rs. 250 recharge by BSNL
300,nil,251.24,nil,nil,Cost: Rs300 | Validity: Unlimited | Talktime: Rs251.24,Talktime of Rs. 251.24 for Rs. 300 recharge by BSNL
350,nil,293.61,nil,nil,Cost: Rs350 | Validity: Unlimited | Talktime: Rs293.61,Talktime of Rs. 293.61 for Rs. 350 recharge by BSNL
400,nil,335.98,nil,nil,Cost: Rs400 | Validity: Unlimited | Talktime: Rs335.98,Talktime of Rs. 335.98 for Rs. 400 recharge by BSNL
450,nil,378.36,nil,nil,Cost: Rs450 | Validity: Unlimited | Talktime: Rs378.36,Talktime of Rs. 378.36 for Rs. 450 recharge by BSNL
500,nil,420.73,nil,nil,Cost: Rs500 | Validity: Unlimited | Talktime: Rs420.73,Talktime of Rs. 420.73 for Rs. 500 recharge by BSNL
3300,nil,2796.61,nil,nil,Cost: Rs3300 | Validity: Unlimited | Talktime: Rs2796.61,Talktime of Rs. 2796.61 for Rs. 3300 recharge by BSNL
5000,nil,4234.29,nil,nil,Cost: Rs5000 | Validity: Unlimited | Talktime: Rs4234.29,Talktime of Rs. 4234.29 for Rs. 5000 recharge by BSNL
5500,nil,4661.02,nil,nil,Cost: Rs5500 | Validity: Unlimited | Talktime: Rs4661.02,Talktime of Rs. 4661.02 for Rs. 5500 recharge by BSNL
550,nil,575,nil,nil,Cost: Rs550 | Validity: Unlimited | Talktime: Rs575,Talktime of Rs. 575 for Rs. 550 recharge by BSNL
1100,nil,1200,nil,nil,Cost: Rs1100 | Validity: Unlimited | Talktime: Rs1200,Talktime of Rs. 1200 for Rs. 1100 recharge by BSNL
2000,nil,2000,nil,nil,Cost: Rs2000 | Validity: Unlimited | Talktime: Rs2000,Talktime of Rs. 2000 for Rs. 2000 recharge by BSNL
2200,nil,2200,nil,nil,Cost: Rs2200 | Validity: Unlimited | Talktime: Rs2200,Talktime of Rs. 2200 for Rs. 2200 recharge by BSNL
2500,nil,2500,nil,nil,Cost: Rs2500 | Validity: Unlimited | Talktime: Rs2500,Talktime of Rs. 2500 for Rs. 2500 recharge by BSNL
3000,nil,3000,nil,nil,Cost: Rs3000 | Validity: Unlimited | Talktime: Rs3000,Talktime of Rs. 3000 for Rs. 3000 recharge by BSNL
