cost,monthly-cost,minutes,monthly-minutes,validity,details,comments
31,930,72,2160,1,Cost: Rs31 | Validity: 1days | Minutes: 72,72 Mins Local or STD calls Anynet
58,435/2,280/3,350,8,Cost: Rs58 | Validity: 8days | Minutes: 280/3,5600 Sec Loc or STD to any network
135,2025/14,275,4125/14,28,Cost: Rs135 | Validity: 28days | Minutes: 275,275 min free to any network (Local/STD)
145,725/4,1000/3,1250/3,24,Cost: Rs145 | Validity: 24days | Minutes: 1000/3,20000 Seconds Local or STD Anynet
159,2385/14,1015/3,725/2,28,Cost: Rs159 | Validity: 28days | Minutes: 1015/3,Free 20300 Secs.Local/STD any net
181,181,1700/43,1700/43,30,Cost: Rs181 | Validity: 30days | Minutes: 1700/43,23800 Sec Local/STD Voice Calls to Any N/w
201,3015/14,1340/3,3350/7,28,Cost: Rs201 | Validity: 28days | Minutes: 1340/3,Free 26800 Secs  to Any Network Local and STD Calls
359,359/2,2600/3,1300/3,60,Cost: Rs359 | Validity: 60days | Minutes: 2600/3,Free 52000 Secs to Any Network Local and STD Calls
448,160,1400,500,84,Cost: Rs448 | Validity: 84days | Minutes: 1400,Free 1400 Mins to Any Network Local and STD Calls
