id,cost,talktime,validity,short description,long description
11298,4,,1 day,Recharge of Rs. 4 by Idea,All Local and STD Calls @1p/2s -- 
11299,5,,1 day,Recharge of Rs. 5 by Idea,60P/Min outgoing local/STD calls on IDEA network -- 
11300,8,,15 days,Recharge of Rs. 8 by Idea,Local Calls @ 1.2paisa/2sec
11301,9,,14 days,Recharge of Rs. 9 by Idea,Local Calls @ 1paisa/2sec
11302,12,,28 days,Recharge of Rs. 12 by Idea,All Local & STD Calls @ 1.2p/2sec
11303,18,,28 days,Recharge of Rs. 18 by Idea,Local Idea Calls @ 10p/min; Other Calls@1p/2s
11304,19,,30 days,Recharge of Rs. 19 by Idea,Local Idea Calls @ 10p/min
11305,53,,5 days,Recharge of Rs. 53 by Idea,Unlimited Local Idea to Idea Calls
11306,192,,28 days,Recharge of Rs. 192 by Idea,800 Local & National Free Mins
11307,198,,7 days,Recharge of Rs. 198 by Idea,Unlimited ALL Local & STD calls
11308,249,,10 days,Recharge of Rs. 249 by Idea,Unlimited ALL Local & STD calls
11309,289,,7 days,Recharge of Rs. 289 by Idea,Unlimited ALL Local & STD calls
11310,342,,21 days,Recharge of Rs. 342 by Idea,Unlimited ALL Local & STD calls
